duration,daily_price,cleaning_fee,service_fee,bath,bed,cleanliness,accuracy,check-in,communication,location,value,overall_rating,num_review,num_years,daily_original_price,Bundle,Weekend,Holiday,room_id,start_date,status,state,scrape_date,Total State Tax,check-in date,check-out date,daily_discount_rate,booked,week,weekly_occupancy_rate,weekly_revenue
7.0,25.7142857142857,164.0,201.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.477777777777778,25.7142857142857,1.0,1.0,1.0,6569449,2024-10-03,available,District of Columbia,2024-06-27,14.95%,2024-10-03,2024-10-10,1.0,1,40,1.0,179.99999999999991
7.0,29.2857142857143,164.0,225.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.33333333333333,29.2857142857143,1.0,1.0,1.0,6569449,2024-10-04,available,District of Columbia,2024-06-26,14.95%,2024-10-04,2024-10-11,1.0,1,40,1.0,205.00000000000009
7.0,29.4285714285714,164.0,227.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.5,29.4285714285714,1.0,1.0,1.0,6569449,2024-10-04,available,District of Columbia,2024-06-28,14.95%,2024-10-04,2024-10-11,1.0,1,40,1.0,205.9999999999998
7.0,32.5714285714286,164.0,249.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.33333333333333,32.5714285714286,1.0,1.0,1.0,6569449,2024-10-05,available,District of Columbia,2024-06-26,14.95%,2024-10-05,2024-10-12,1.0,1,40,1.0,228.00000000000017
7.0,31.5714285714286,164.0,241.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.477777777777778,31.5714285714286,1.0,1.0,1.0,6569449,2024-10-05,available,District of Columbia,2024-06-27,14.95%,2024-10-05,2024-10-12,1.0,1,40,1.0,221.0000000000002
7.0,35.4285714285714,164.0,268.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.33333333333333,35.4285714285714,1.0,1.0,1.0,6569449,2024-10-06,available,District of Columbia,2024-06-26,14.95%,2024-10-06,2024-10-13,1.0,1,40,1.0,247.99999999999983
7.0,34.7142857142857,164.0,263.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.5,34.7142857142857,1.0,1.0,1.0,6569449,2024-10-06,available,District of Columbia,2024-06-28,14.95%,2024-10-06,2024-10-13,1.0,1,40,1.0,242.99999999999991
7.0,37.5714285714286,164.0,283.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.33333333333333,37.5714285714286,1.0,1.0,1.0,6569449,2024-10-07,available,District of Columbia,2024-06-26,14.95%,2024-10-07,2024-10-14,1.0,1,41,1.0,263.00000000000017
7.0,36.1428571428571,164.0,273.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.477777777777778,36.1428571428571,1.0,1.0,1.0,6569449,2024-10-07,available,District of Columbia,2024-06-27,14.95%,2024-10-07,2024-10-14,1.0,1,41,1.0,252.99999999999972
7.0,36.5714285714286,164.0,276.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.5,36.5714285714286,1.0,1.0,1.0,6569449,2024-10-07,available,District of Columbia,2024-06-28,14.95%,2024-10-07,2024-10-14,1.0,1,41,1.0,256.00000000000017
